Data;acd;pesid2;gravidade
01/01/2007;207;21;10,14492754
01/01/2008;182;27;14,83516484
01/01/2009;165;15;9,090909091
01/01/2010;151;29;19,20529801
01/01/2011;224;25;11,16071429
01/01/2012;272;15;5,514705882
01/01/2013;211;31;14,69194313
01/01/2014;203;29;14,28571429
01/01/2015;165;19;11,51515152
01/01/2016;190;29;15,26315789
01/01/2017;224;33;14,73214286
01/01/2018;151;27;17,8807947
01/01/2019;173;25;14,45086705
01/01/2020;174;15;8,620689655
01/02/2007;91;14;15,38461538
01/02/2008;156;16;10,25641026
01/02/2009;197;25;12,69035533
01/02/2010;154;20;12,98701299
01/02/2011;139;10;7,194244604
01/02/2012;142;12;8,450704225
01/02/2013;183;21;11,47540984
01/02/2014;221;37;16,74208145
01/02/2015;174;26;14,94252874
01/02/2016;165;15;9,090909091
01/02/2017;115;5;4,347826087
01/02/2018;147;9;6,12244898
01/02/2019;144;20;13,88888889
01/02/2020;162;19;11,72839506
01/03/2007;95;9;9,473684211
01/03/2008;208;20;9,615384615
01/03/2009;168;28;16,66666667
01/03/2010;172;20;11,62790698
01/03/2011;193;16;8,29015544
01/03/2012;156;13;8,333333333
01/03/2013;214;19;8,878504673
01/03/2014;349;46;13,18051576
01/03/2015;215;29;13,48837209
01/03/2016;131;14;10,6870229
01/03/2017;159;20;12,57861635
01/03/2018;124;23;18,5483871
01/03/2019;202;22;10,89108911
01/03/2020;184;20;10,86956522
01/04/2007;182;38;20,87912088
01/04/2008;118;12;10,16949153
01/04/2009;119;18;15,12605042
01/04/2010;261;33;12,64367816
01/04/2011;201;12;5,970149254
01/04/2012;220;35;15,90909091
01/04/2013;226;20;8,849557522
01/04/2014;168;22;13,0952381
01/04/2015;156;16;10,25641026
01/04/2016;194;20;10,30927835
01/04/2017;198;22;11,11111111
01/04/2018;164;27;16,46341463
01/04/2019;145;16;11,03448276
01/04/2020;104;13;12,5
01/05/2007;135;14;10,37037037
01/05/2008;166;25;15,06024096
01/05/2009;247;28;11,33603239
01/05/2010;262;31;11,83206107
01/05/2011;249;23;9,236947791
01/05/2012;172;25;14,53488372
01/05/2013;179;22;12,29050279
01/05/2014;197;31;15,73604061
01/05/2015;205;21;10,24390244
01/05/2016;185;28;15,13513514
01/05/2017;143;23;16,08391608
01/05/2018;146;31;21,23287671
01/05/2019;110;14;12,72727273
01/05/2020;119;6;5,042016807
01/06/2007;158;22;13,92405063
01/06/2008;172;31;18,02325581
01/06/2009;167;13;7,784431138
01/06/2010;149;16;10,73825503
01/06/2011;194;22;11,34020619
01/06/2012;213;23;10,79812207
01/06/2013;206;31;15,04854369
01/06/2014;227;37;16,29955947
01/06/2015;160;9;5,625
01/06/2016;148;19;12,83783784
01/06/2017;146;21;14,38356164
01/06/2018;122;12;9,836065574
01/06/2019;159;21;13,20754717
01/06/2020;109;17;15,59633028
01/07/2007;157;26;16,56050955
01/07/2008;108;12;11,11111111
01/07/2009;137;11;8,02919708
01/07/2010;161;15;9,316770186
01/07/2011;205;21;10,24390244
01/07/2012;227;42;18,50220264
01/07/2013;161;21;13,04347826
01/07/2014;159;20;12,57861635
01/07/2015;124;13;10,48387097
01/07/2016;180;10;5,555555556
01/07/2017;183;33;18,03278689
01/07/2018;153;29;18,95424837
01/07/2019;166;15;9,036144578
01/07/2020;102;9;8,823529412
01/08/2007;129;13;10,07751938
01/08/2008;156;15;9,615384615
01/08/2009;196;26;13,26530612
01/08/2010;234;26;11,11111111
01/08/2011;163;13;7,975460123
01/08/2012;156;17;10,8974359
01/08/2013;154;13;8,441558442
01/08/2014;210;18;8,571428571
01/08/2015;212;16;7,547169811
01/08/2016;177;18;10,16949153
01/08/2017;118;19;16,10169492
01/08/2018;127;11;8,661417323
01/08/2019;138;9;6,52173913
01/08/2020;154;20;12,98701299
01/09/2007;156;25;16,02564103
01/09/2008;111;12;10,81081081
01/09/2009;126;11;8,73015873
01/09/2010;153;16;10,45751634
01/09/2011;160;31;19,375
01/09/2012;228;36;15,78947368
01/09/2013;215;27;12,55813953
01/09/2014;183;17;9,289617486
01/09/2015;144;18;12,5
01/09/2016;139;12;8,633093525
01/09/2017;176;22;12,5
01/09/2018;174;18;10,34482759
01/09/2019;181;19;10,49723757
01/09/2020;122;15;12,29508197
01/10/2007;109;11;10,09174312
01/10/2008;129;18;13,95348837
01/10/2009;127;17;13,38582677
01/10/2010;210;34;16,19047619
01/10/2011;262;38;14,50381679
01/10/2012;185;23;12,43243243
01/10/2013;166;15;9,036144578
01/10/2014;151;10;6,622516556
01/10/2015;157;19;12,10191083
01/10/2016;271;36;13,28413284
01/10/2017;169;34;20,1183432
01/10/2018;119;5;4,201680672
01/10/2019;134;11;8,208955224
01/10/2020;133;14;10,52631579
01/11/2007;167;18;10,77844311
01/11/2008;171;16;9,356725146
01/11/2009;201;26;12,93532338
01/11/2010;200;21;10,5
01/11/2011;174;23;13,2183908
01/11/2012;206;12;5,825242718
01/11/2013;219;30;13,69863014
01/11/2014;237;27;11,39240506
01/11/2015;189;24;12,6984127
01/11/2016;145;16;11,03448276
01/11/2017;153;24;15,68627451
01/11/2018;157;14;8,917197452
01/11/2019;188;28;14,89361702
01/11/2020;174;29;16,66666667
01/12/2007;208;39;18,75
01/12/2008;150;22;14,66666667
01/12/2009;146;9;6,164383562
01/12/2010;191;21;10,9947644
01/12/2011;161;31;19,25465839
01/12/2012;242;40;16,52892562
01/12/2013;247;33;13,36032389
01/12/2014;203;18;8,866995074
01/12/2015;138;16;11,5942029
01/12/2016;132;9;6,818181818
01/12/2017;180;21;11,66666667
01/12/2018;177;22;12,42937853
01/12/2019;190;27;14,21052632
01/12/2020;137;9;6,569343066
02/01/2007;169;26;15,38461538
02/01/2008;150;15;10
02/01/2009;179;33;18,43575419
02/01/2010;185;21;11,35135135
02/01/2011;259;30;11,58301158
02/01/2012;220;17;7,727272727
02/01/2013;203;17;8,374384236
02/01/2014;188;23;12,23404255
02/01/2015;172;15;8,720930233
02/01/2016;184;29;15,76086957
02/01/2017;173;19;10,98265896
02/01/2018;152;34;22,36842105
02/01/2019;139;5;3,597122302
02/01/2020;172;20;11,62790698
02/02/2007;122;10;8,196721311
02/02/2008;204;23;11,2745098
02/02/2009;144;8;5,555555556
02/02/2010;137;23;16,78832117
02/02/2011;150;28;18,66666667
02/02/2012;154;24;15,58441558
02/02/2013;225;34;15,11111111
02/02/2014;215;27;12,55813953
02/02/2015;169;18;10,65088757
02/02/2016;139;19;13,66906475
02/02/2017;134;21;15,67164179
02/02/2018;163;13;7,975460123
02/02/2019;172;19;11,04651163
02/02/2020;190;34;17,89473684
02/03/2007;122;9;7,37704918
02/03/2008;184;25;13,58695652
02/03/2009;130;18;13,84615385
02/03/2010;177;12;6,779661017
02/03/2011;176;16;9,090909091
02/03/2012;187;22;11,76470588
02/03/2013;218;21;9,633027523
02/03/2014;222;36;16,21621622
02/03/2015;164;15;9,146341463
02/03/2016;156;12;7,692307692
02/03/2017;138;15;10,86956522
02/03/2018;165;22;13,33333333
02/03/2019;203;26;12,80788177
02/03/2020;172;17;9,88372093
02/04/2007;110;18;16,36363636
02/04/2008;111;12;10,81081081
02/04/2009;131;11;8,396946565
02/04/2010;200;22;11
02/04/2011;228;21;9,210526316
02/04/2012;158;15;9,493670886
02/04/2013;160;12;7,5
02/04/2014;172;23;13,37209302
